transaction_id,customer_id,transaction_date,transaction_time,merchant,transaction_amount,location,payment_method,account_age_days,fraud_flag,large_amount_flag,transaction_hour,odd_hour_flag,round_amount_flag,transaction_datetime,customer_avg_amount,amount_vs_average,spending_deviation_flag,minutes_since_previous,velocity_flag,new_burst,burst_id,burst_size,burst_flag,burst_total_amount,high_value_burst_flag,risk_score,risk_level,predicted_flag
T003132,C0001,2026-01-02,15:20,Walmart,295.98,Jonesboro GA,Credit Card,1858,0,0,15,0,0,2026-01-02 15:20:00,254.5698260869565,1.1626672514553964,0,,0,1,1,1,0,295.98,0,0,Low,0
T002126,C0001,2026-01-02,19:06,Amazon,415.84,Charlotte NC,Credit Card,729,0,0,19,0,0,2026-01-02 19:06:00,254.5698260869565,1.6335007427704982,0,226.0,0,1,2,1,0,415.84,0,0,Low,0
T003492,C0001,2026-01-02,20:48,Home Depot,66.91,Miami FL,Debit Card,1727,0,0,20,0,0,2026-01-02 20:48:00,254.5698260869565,0.26283554900628614,0,102.0,0,1,3,1,0,66.91,0,0,Low,0
T004667,C0001,2026-01-02,21:34,CVS,94.06,Jonesboro GA,Debit Card,1833,0,0,21,0,0,2026-01-02 21:34:00,254.5698260869565,0.3694860520031576,0,46.0,0,1,4,1,0,94.06,0,0,Low,0
T003733,C0001,2026-01-03,11:58,Amazon,144.6,Jonesboro GA,Debit Card,1508,0,0,11,0,0,2026-01-03 11:58:00,254.5698260869565,0.5680170435855474,0,864.0,0,1,5,1,0,144.6,0,0,Low,0
T004858,C0001,2026-01-04,23:41,CVS,79.62,Atlanta GA,Debit Card,1316,0,0,23,0,0,2026-01-04 23:41:00,254.5698260869565,0.31276291155104624,0,2143.0,0,1,6,1,0,79.62,0,0,Low,0
T009140,C0001,2026-01-05,23:08,PetSmart,283.22,Marietta GA,Credit Card,310,0,0,23,0,0,2026-01-05 23:08:00,254.5698260869565,1.1125434791445281,0,1407.0,0,1,7,1,0,283.22,0,0,Low,0
T003883,C0001,2026-01-06,15:44,Shell,448.97,Miami FL,Debit Card,1818,0,0,15,0,0,2026-01-06 15:44:00,254.5698260869565,1.7636418537939367,0,996.0,0,1,8,1,0,448.97,0,0,Low,0
T004637,C0001,2026-01-06,19:04,PetSmart,66.13,Savannah GA,Debit Card,52,0,0,19,0,0,2026-01-06 19:04:00,254.5698260869565,0.2597715566549948,0,200.0,0,1,9,1,0,66.13,0,0,Low,0
T003153,C0001,2026-01-07,18:15,Amazon,28.97,Savannah GA,Debit Card,115,0,0,18,0,0,2026-01-07 18:15:00,254.5698260869565,0.1137998184832179,0,1391.0,0,1,10,1,0,28.97,0,0,Low,0
T006442,C0001,2026-01-07,22:39,Home Depot,129.46,Charlotte NC,Credit Card,1652,0,0,22,0,0,2026-01-07 22:39:00,254.5698260869565,0.5085441664079182,0,264.0,0,1,11,1,0,129.46,0,0,Low,0
T002130,C0001,2026-01-08,20:33,Best Buy,35.4,Savannah GA,Credit Card,622,0,0,20,0,0,2026-01-08 20:33:00,254.5698260869565,0.13905811440476057,0,1314.0,0,1,12,1,0,35.4,0,0,Low,0
T004198,C0001,2026-01-12,20:19,Home Depot,250.72,Jonesboro GA,Debit Card,1256,0,0,20,0,0,2026-01-12 20:19:00,254.5698260869565,0.9848771311740556,0,5746.0,0,1,13,1,0,250.72,0,0,Low,0
T006467,C0001,2026-01-13,18:00,Home Depot,132.26,Marietta GA,Credit Card,1253,0,0,18,0,0,2026-01-13 18:00:00,254.5698260869565,0.5195431133099896,0,1301.0,0,1,14,1,0,132.26,0,0,Low,0
T002106,C0001,2026-01-13,22:35,Publix,71.37,Savannah GA,Credit Card,1599,0,0,22,0,0,2026-01-13 22:35:00,254.5698260869565,0.2803553001431571,0,275.0,0,1,15,1,0,71.37,0,0,Low,0
T008822,C0001,2026-01-14,09:32,Best Buy,190.44,Jonesboro GA,Credit Card,309,0,0,9,0,0,2026-01-14 09:32:00,254.5698260869565,0.7480855171537458,0,657.0,0,1,16,1,0,190.44,0,0,Low,0
T000494,C0001,2026-01-14,18:32,Amazon,159.49,Marietta GA,Debit Card,1235,0,0,18,0,0,2026-01-14 18:32:00,254.5698260869565,0.6265078719326346,0,540.0,0,1,17,1,0,159.49,0,0,Low,0
T007861,C0001,2026-01-14,21:23,Shell,336.93,Marietta GA,Debit Card,1271,0,0,21,0,0,2026-01-14 21:23:00,254.5698260869565,1.3235268498981916,0,171.0,0,1,18,1,0,336.93,0,0,Low,0
T004055,C0001,2026-01-15,07:05,Walmart,392.97,Charlotte NC,Credit Card,1705,0,0,7,0,0,2026-01-15 07:05:00,254.5698260869565,1.5436629157525075,0,582.0,0,1,19,1,0,392.97,0,0,Low,0
